Tiempo (min),Temperatura (°C)
0.0,78.19022405815043
3.1578947368421053,65.07500225699269
6.315789473684211,51.96272848166089
9.473684210526315,44.34064872724938
12.631578947368421,35.49458518696955
15.789473684210527,33.50438145108875
18.94736842105263,29.63037536024032
22.105263157894736,25.46786365495642
25.263157894736842,24.386690560587212
28.42105263157895,24.265114072306915
31.578947368421055,22.250023155482392
34.73684210526316,22.58837602485508
37.89473684210526,20.737424640646495
41.05263157894737,22.339946446544523
44.21052631578947,21.092861777787164
47.36842105263158,19.096138910869822
50.526315789473685,20.74175425881847
53.68421052631579,20.46874534556704
56.8421052631579,21.03074041021912
60.0,19.583293571110296
