Tiempo (s),Velocidad (m/s)
0.0,-2.629581611250779
0.6122448979591837,5.570979020350645
1.2244897959183674,10.77695103477441
1.836734693877551,14.75957813756085
2.4489795918367347,22.197879713710492
3.0612244897959187,22.86312171568012
3.673469387755102,25.543968479708273
4.285714285714286,28.609333776717698
4.8979591836734695,33.141153107285
5.510204081632653,32.660239669177784
6.122448979591837,34.460245763739536
6.73469387755102,36.19412795907919
7.346938775510204,38.943388462243895
7.959183673469388,40.16045005744092
8.571428571428571,41.58483651532737
9.183673469387756,43.60269962360203
9.795918367346939,43.91919657580217
10.408163265306122,42.946837817340985
11.020408163265307,43.5416743375706
11.63265306122449,44.67368230495591
12.244897959183675,44.71923931020309
12.857142857142858,45.50226970422975
13.46938775510204,45.978000512198854
14.081632653061225,47.256210582590114
14.693877551020408,46.56186807293821
15.306122448979592,47.80836254789702
15.918367346938776,47.763911270927935
16.53061224489796,48.72780947700772
17.142857142857142,47.14937268343444
17.755102040816325,48.81455629871214
18.367346938775512,48.2293103287589
18.979591836734695,48.96181468361714
19.591836734693878,47.56520539195936
20.20408163265306,47.247501147978724
20.816326530612244,48.24309086468903
21.42857142857143,50.324511340623815
22.040816326530614,48.02194707780807
22.653061224489797,49.169522973466655
23.26530612244898,51.6407117766607
23.877551020408163,47.61514305761653
24.48979591836735,49.19607934838471
25.102040816326532,48.9663368973834
25.714285714285715,49.197392220852215
26.3265306122449,49.40077967000141
26.93877551020408,49.65551364308445
27.551020408163264,49.055680836865626
28.16326530612245,49.75141985488284
28.775510204081634,51.736712321858825
29.387755102040817,49.11526497618515
30.0,48.9447393897037
