Distancia (cm),Temperatura (°C)
0.0,97.01845775758103
0.5263157894736842,97.89238305035158
1.0526315789473684,94.44296911810106
1.5789473684210527,93.77477308084619
2.1052631578947367,93.9081484711445
2.631578947368421,95.53646783188387
3.1578947368421053,96.51194449131472
3.6842105263157894,93.90109766783432
4.2105263157894735,93.2880189225191
4.7368421052631575,91.03786170362744
5.263157894736842,86.34022484705
5.789473684210526,88.74281238209443
6.315789473684211,89.51168718763032
6.842105263157895,88.0843730894373
7.368421052631579,90.35888635958173
7.894736842105263,83.29634970779729
8.421052631578947,85.34018169088075
8.947368421052632,83.34129431300363
9.473684210526315,81.31380330304626
10.0,81.95851376471269
