Tiempo (min),Temperatura (°C)
0.0,69.96384370294385
1.5384615384615385,52.31575545326324
3.076923076923077,40.42292427970817
4.615384615384616,32.23046066779573
6.153846153846154,26.91272950931008
7.6923076923076925,23.22087298777422
9.230769230769232,20.27194603110052
10.76923076923077,18.762545781177966
12.307692307692308,17.460099650245333
13.846153846153847,16.778857828519104
15.384615384615385,16.390132355929957
16.923076923076923,15.848914209425361
18.461538461538463,15.58771505346157
20.0,15.577149216505585
21.53846153846154,15.137343720182054
23.076923076923077,15.327330734852318
24.615384615384617,15.194483466308188
26.153846153846157,14.983221819005937
27.692307692307693,14.919785031229056
29.230769230769234,15.029760276097948
30.76923076923077,14.537905457389215
32.30769230769231,15.341540792457337
33.84615384615385,15.513285041357149
35.38461538461539,14.92073948901351
36.92307692307693,15.091854625884702
38.46153846153847,14.928591814300141
40.0,15.24388014500241
41.53846153846154,15.03701597361418
43.07692307692308,15.033304812477933
44.61538461538462,15.002501295950546
46.15384615384615,15.120806478214133
47.69230769230769,14.803458671754006
49.23076923076923,15.121349209015738
50.769230769230774,15.19076628787408
52.307692307692314,14.498412434497299
53.84615384615385,15.014816887973403
55.38461538461539,14.922849819996069
56.92307692307693,15.072306193607295
58.46153846153847,14.578818508578538
60.0,14.882937981336411
