Tiempo (s),Núcleos restantes
0.0,504.18119431943035
3.1578947368421053,432.4504483698634
6.315789473684211,354.9387140806882
9.473684210526315,308.3681471383393
12.631578947368421,267.90867012989804
15.789473684210527,237.59242944821725
18.94736842105263,198.99925183991076
22.105263157894736,178.1221173395415
25.263157894736842,132.80429452294337
28.42105263157895,120.5971464426548
31.578947368421055,101.49135578184662
34.73684210526316,88.39197833732983
37.89473684210526,78.75781452545931
41.05263157894737,61.77555317126184
44.21052631578947,64.91755816986472
47.36842105263158,50.20141020207192
50.526315789473685,30.73771066854485
53.68421052631579,29.768912829844055
56.8421052631579,26.89206600484945
60.0,29.688538347118204
