Tiempo (s),Posición (m)
0.0,10.678110846560351
0.5172413793103449,8.102782967526226
1.0344827586206897,8.135923160403433
1.5517241379310347,4.496025511956919
2.0689655172413794,6.470277984898165
2.586206896551724,4.770572122826991
3.1034482758620694,5.190441254190225
3.620689655172414,2.5028564836148806
4.137931034482759,1.8870161444595863
4.655172413793104,2.5827321251286524
5.172413793103448,2.6767396142917623
5.689655172413794,1.3626326017127006
6.206896551724139,1.9543228703153244
6.724137931034483,0.5674450144505435
7.241379310344828,0.9231410003467848
7.758620689655173,1.0407944040206722
8.275862068965518,0.5048128916675796
8.793103448275863,1.2504452080280601
9.310344827586208,0.5874417285899706
9.827586206896552,0.7323440808847891
10.344827586206897,1.3683071629706574
10.862068965517242,-0.16606324691837132
11.379310344827587,0.657510282719477
11.896551724137932,-0.2203797737747653
12.413793103448278,0.9867323513611754
12.931034482758621,0.1916844482404896
13.448275862068966,-0.006131535096427887
13.965517241379311,0.48181433470135726
14.482758620689657,-0.8064994098132139
15.0,0.20959650939112534
